id,index,name,emotion,spritePosition,textBoxPosition,sentence
1,0,Robot,Sigh,Right,Top,1000004
1,1,Robot,Sigh,Left,Bottom,1000005
1,2,Robot,Angry,Right,Top,1000006
1,3,,Normal,None,Bottom,1000007
1,4,"Robot,Robot","Angry,Sigh",Both,Top,1000008
100,0,Robot,Sigh,Right,Bottom,10001
100,1,Robot,Sigh,Right,Bottom,10002
100,2,Robot,Sigh,Right,Bottom,10003
100,3,Robot,Laugh,Right,Bottom,10004
100,4,Air&Hook,Laugh,Left,Bottom,10005
100,5,"Air&Hook,Robot","Laugh,Sigh",Both,Bottom,10006
101,0,Speaker,Normal,Right,Top,
101,1,Speaker,Normal,Right,Top,
101,2,Speaker,Normal,Right,Top,
102,0,Speaker,Normal,Right,Bottom,10008
102,1,Speaker,Normal,Right,Bottom,10009
103,0,Speaker,Normal,Right,Bottom,10010
104,0,Speaker,Normal,Right,Bottom,10011
104,1,Speaker,Normal,Right,Bottom,10012
104,2,Speaker,Normal,Right,Bottom,10013
105,0,Speaker,Normal,Right,Bottom,10014
105,1,Speaker,Normal,Right,Bottom,10015
110,0,Speaker,Normal,Right,Bottom,10100
110,1,Speaker,Normal,Right,Bottom,10101
110,2,Speaker,Normal,Right,Bottom,10102
110,3,Speaker,Normal,Right,Bottom,10103
110,4,Speaker,Normal,Right,Bottom,10104
110,5,Speaker,Normal,Right,Bottom,10105
110,6,Air&Hook,Normal,Left,Bottom,10106
111,0,Speaker,Normal,Right,Bottom,10107
111,1,Speaker,Normal,Right,Bottom,10108
111,2,Speaker,Normal,Right,Bottom,10109
111,3,Speaker,Normal,Right,Bottom,10110
111,4,Speaker,Normal,Right,Bottom,10111
112,0,Speaker,Normal,Right,Bottom,10112
112,1,Speaker,Normal,Right,Bottom,10113
112,2,Speaker,Normal,Right,Bottom,10114
113,0,Speaker,Normal,Right,Bottom,10115
113,1,Speaker,Normal,Right,Bottom,10116
114,0,Speaker,Normal,Right,Bottom,10117
114,1,Speaker,Normal,Right,Bottom,10118
114,2,Speaker,Normal,Right,Bottom,10119
115,0,Speaker,Normal,Right,Bottom,10120
115,1,Speaker,Normal,Right,Bottom,10121
1000,0,Robot,Sigh,Right,Bottom,50000
1000,1,Robot,Dumbfounded,Right,Bottom,50001
1001,0,Robot,Sigh,Right,Bottom,50002
1001,1,Robot,Sigh,Right,Bottom,50003
